"x"
"n_unique_tokens x self_reference_min_shares"
"n_non_stop_words x self_reference_min_shares"
"n_non_stop_unique_tokens x self_reference_min_shares"
"average_token_length x kw_max_avg"
"average_token_length x self_reference_min_shares"
"kw_max_min x kw_min_avg"
"kw_avg_max x kw_avg_avg"
"kw_avg_max x self_reference_min_shares"
"kw_avg_max x self_reference_avg_sharess"
"kw_min_avg x kw_max_avg"
"kw_min_avg x self_reference_min_shares"
"kw_max_avg x rate_positive_words"
"kw_max_avg x max_positive_polarity"
"kw_max_avg x abs_title_subjectivity"
"kw_avg_avg x self_reference_min_shares"
"kw_avg_avg x title_subjectivity"
"kw_avg_avg x abs_title_subjectivity"
"self_reference_min_shares x global_subjectivity"
"self_reference_min_shares x global_rate_negative_words"
"self_reference_min_shares x rate_negative_words"
"self_reference_min_shares x avg_positive_polarity"
"self_reference_min_shares x min_positive_polarity"
"self_reference_min_shares x max_positive_polarity"
"self_reference_min_shares x min_negative_polarity"
"self_reference_max_shares x abs_title_subjectivity"
"self_reference_avg_sharess x global_subjectivity"
"self_reference_avg_sharess x rate_negative_words"
"self_reference_avg_sharess x avg_positive_polarity"
"self_reference_avg_sharess x min_positive_polarity"
"self_reference_avg_sharess x max_positive_polarity"
"self_reference_avg_sharess x avg_negative_polarity"
"self_reference_avg_sharess x min_negative_polarity"
"self_reference_avg_sharess x abs_title_subjectivity"
