"","xgboost.1","xgboost.2","xgboost.3"
"1",2.26817893981934,2.26810312271118,2.26498126983643
"2",2.49518752098083,2.49512696266174,2.63177800178528
"3",2.15015506744385,2.15021419525146,2.14857769012451
"4",2.21803975105286,2.21797895431519,2.22521543502808
"5",1.85747361183167,1.85752689838409,1.85728693008423
"6",2.02198362350464,2.02193999290466,2.02079963684082
"7",1.9464522600174,1.9463255405426,1.94765496253967
"8",2.15160417556763,2.15157079696655,2.14712429046631
"9",1.60486698150635,1.60480082035065,1.60850501060486
"10",1.81437623500824,1.81453597545624,1.8055477142334
"11",1.86012625694275,1.86013782024384,1.86479818820953
"12",1.9834600687027,1.98341488838196,1.9833869934082
"13",1.8247857093811,1.82469010353088,1.83117866516113
"14",2.05771827697754,2.05772471427917,2.06127882003784
"15",1.56481909751892,1.56468832492828,1.56975090503693
"16",2.1522741317749,2.15233993530273,2.14720392227173
"17",1.81008183956146,1.81013751029968,1.81299650669098
"18",1.98593294620514,1.9859322309494,1.98814678192139
"19",1.94144892692566,1.94140136241913,1.94364082813263
"20",2.08049631118774,2.08028173446655,2.09439921379089
"21",1.87388205528259,1.87388896942139,1.87430548667908
"22",2.16064023971558,2.16070508956909,2.15559339523315
"23",1.82831358909607,1.82827126979828,1.83163511753082
"24",2.10055208206177,2.10062026977539,2.10018062591553
"25",2.27861309051514,2.27860307693481,2.27612972259521
"26",1.84559655189514,1.84542143344879,1.85416495800018
"27",1.99035394191742,1.99024999141693,1.99141764640808
"28",1.73053216934204,1.73040676116943,1.73152923583984
"29",1.68926072120667,1.68918704986572,1.69286859035492
"30",1.9302933216095,1.9304940700531,1.92153739929199
"31",1.70582604408264,1.7059623003006,1.70507514476776
"32",1.76789534091949,1.76787865161896,1.76682817935944
"33",1.76203751564026,1.76201045513153,1.76275217533112
"34",1.88993453979492,1.88979256153107,1.89052069187164
"35",1.85308909416199,1.85313034057617,1.85033082962036
"36",2.51318120956421,2.51293110847473,2.52261543273926
"37",1.84805548191071,1.84802556037903,1.8497622013092
"38",1.90302133560181,1.90299665927887,1.90419971942902
"39",1.48325550556183,1.48324525356293,1.48492085933685
"40",1.93753039836884,1.93755853176117,1.93212294578552
"41",2.403480052948,2.40358257293701,2.40000343322754
"42",1.60003101825714,1.60007774829865,1.59551429748535
"43",2.30998516082764,2.30995941162109,2.31102275848389
"44",2.04762744903564,2.04763531684875,2.05032587051392
"45",2.15585780143738,2.15580868721008,2.15975379943848
"46",1.65458118915558,1.65439677238464,1.63885927200317
"47",2.51764917373657,2.51781463623047,2.5050048828125
"48",1.65312683582306,1.6531046628952,1.65989696979523
"49",1.98242080211639,1.98248660564423,1.98162794113159
"50",2.0683741569519,2.06851243972778,2.06830596923828
"51",1.81000185012817,1.80984175205231,1.81265795230865
"52",2.26620006561279,2.26613187789917,2.26397705078125
"53",1.94218552112579,1.94223093986511,1.94195973873138
"54",2.43453311920166,2.43430662155151,2.45301222801208
"55",1.94891679286957,1.94893050193787,1.94882488250732
"56",1.75885987281799,1.75892269611359,1.76172614097595
"57",2.37150883674622,2.37145948410034,2.36949133872986
"58",1.90895819664001,1.9086354970932,1.91286289691925
"59",2.07850646972656,2.07848978042603,2.08041381835938
"60",1.7290027141571,1.72898292541504,1.72865259647369
"61",1.8733903169632,1.87345671653748,1.8730366230011
"62",1.81480932235718,1.8147349357605,1.81966638565063
"63",2.00137734413147,2.00131249427795,2.00352907180786
"64",1.72219395637512,1.72271752357483,1.70016992092133
"65",1.78312563896179,1.78310787677765,1.78732883930206
"66",1.59744453430176,1.59737706184387,1.5936450958252
"67",1.96979153156281,1.96986162662506,1.96503698825836
"68",2.02318358421326,2.02325773239136,2.0206356048584
"69",1.70651865005493,1.70660948753357,1.69965815544128
"70",1.58348083496094,1.5834995508194,1.58184397220612
"71",1.80354154109955,1.80367910861969,1.80373597145081
"72",1.38182485103607,1.38190340995789,1.37754487991333
"73",1.86087846755981,1.86100125312805,1.85687816143036
"74",2.10567045211792,2.10574340820312,2.1029200553894
"75",2.52730655670166,2.52721858024597,2.52085828781128
